"CountryofLiving","m_beh_distance","m_beh_handwash","m_beh_socgathering","m_beh_stayhome","m_beh_tellsymp","m_govfact_untruthful","m_govtrust_distrust","m_perceivedeffect_eff","m_perceivedreactinsuff","power_distance","individualism","uncertainty_avoidance","long_term_orientation","population_2016","Country.Code","gdp_2016"
"Albania",94.07537842,98.95098877,94.16421509,97.16685486,99.1591568,0.10718181,0.094910659,0.95541352,0.082112536,90,20,70,61,2876101,"ALB",11863865978.0942
"Argentina",95.2657547,99.26831055,99.53424072,99.01520538,99.91841888,0.067515448,0.077451102,0.970510364,0.086238295,49,46,86,20,43847430,"ARG",545476103427.247
"Australia",73.55710602,91.66132355,86.84014893,77.6494751,90.91370392,0.305546612,0.443207115,0.859050751,0.699936509,38,90,51,21,24127159,"AUS",1204616439828.41
"Austria",87.76309204,92.91214752,96.00899506,85.68785095,96.55279541,0.051538818,0.092774473,0.968757927,0.116049558,11,55,70,60,8747358,"AUT",390799991147.468
"Belarus",48.37889099,82.95427704,74.3360672,51.43111801,81.7396698,0.635609508,0.55649364,0.750577748,0.863812089,NA,NA,NA,NA,9507120,"BLR",47407217531.162
"Belgium",81.17033386,90.16571808,94.09759521,84.21781921,94.25270844,0.151389256,0.123751424,0.847688496,0.320375293,65,75,94,82,11348159,"BEL",467955709817.539
"Brazil",55.89817429,89.16326141,83.38031006,77.98213959,93.070755,0.653463304,0.811759651,0.820390821,0.782144189,69,38,76,44,207652865,"BRA",1796186586414.45
"Bulgaria",92.75102234,86.44317627,94.09275055,78.97631836,97.29663849,0.563872516,0.764796734,0.786094069,0.435494959,70,30,85,69,7127822,"BGR",53237882472.7108
"Canada",84.12890625,93.27053833,95.44317627,85.84973907,94.14735413,0.076669082,0.107295997,0.923597932,0.4335908,39,80,48,36,36286425,"CAN",1529760492201.35
"Chile",46.64720154,73.77384186,88.59481049,76.95275116,95.42670441,0.745861769,0.522140563,0.581452131,0.550136685,63,23,86,31,17909754,"CHL",247027912574.35
"China",74.96437836,80.55639648,91.74121094,83.04675293,91.76682281,0.250652909,0.168365911,0.902970374,0.099052906,80,20,30,87,1378665000,"CHN",11199145157649.2
"Colombia",69.07086182,89.45114136,86.84374237,91.38365936,90.65615845,0.719951272,0.75985837,0.829765499,0.695533097,67,13,80,13,48653419,"COL",282462551366.878
"Czech Republic",79.56771851,84.81439209,98.72504425,87.06855011,97.21414185,0.426700324,0.558082461,0.979639292,0.094423853,57,58,74,70,10561633,"CZE",195305084919.138
"Denmark",87.2108078,90.5794754,93.98365021,84.88393402,95.9260788,0.046024747,0.076812528,0.906019032,0.183712706,18,74,23,35,5731118,"DNK",306899653409.601
"Dominican Republic",64.26998138,90.10436249,57.81942368,93.70417023,99.74136353,0.750162184,0.700347662,0.805122197,0.626551092,65,30,45,13,10648791,"DOM",71583553487.5646
"Ecuador",90.54840088,93.38211823,99.01039886,98.27068329,91.38725281,0.284188747,0.131175175,0.31052053,0.220760494,78,8,67,NA,16385068,"ECU",98613972000
"Finland",76.28466034,91.16306305,90.92656708,72.74025726,94.45838165,0.052447353,0.083780177,0.846028149,0.28260687,33,63,59,38,5495096,"FIN",238502900311.9
"France",83.73193359,90.98294067,96.42223358,87.84590912,94.63767242,0.435293913,0.379314423,0.933088064,0.525496304,68,71,86,63,66896109,"FRA",2465453975282.24
"Germany",86.67736053,91.13838196,94.28430939,83.55871582,94.6497879,0.14949429,0.202065066,0.901790202,0.374103725,35,67,65,83,82667685,"DEU",3477796274496.8
"Greece",74.69486237,94.34361267,97.94333649,93.3243866,92.89893341,0.470370293,0.567016244,0.896257579,0.496800512,60,35,100,45,10746740,"GRC",192690813126.86
"Hungary",79.34667969,85.84910583,79.01895905,75.90492249,95.30827332,0.464314878,0.498405457,0.789328277,0.586849093,46,80,82,58,9817958,"HUN",125816640420.569
"India",57.53423691,98.01972198,94.32525635,63.71481323,99.59331512,0.518057287,0.533449531,0.997768044,0.523741484,77,48,40,51,1324171354,"IND",2263792499341.01
"Indonesia",68.43634033,84.6680603,87.53330994,81.57811737,81.74751282,0.486205339,0.406566888,0.867716551,0.838472664,78,14,48,62,261115456,"IDN",932259177765.307
"Ireland",83.38709259,92.35466766,89.45600128,80.9537735,92.68955994,0.147124976,0.197717175,0.894560277,0.471312463,28,70,35,24,4773095,"IRL",304819020500.641
"Israel",75.11076355,83.51383209,95.0046463,85.03324127,93.07883453,0.194099262,0.300201714,0.766417861,0.190427467,13,54,81,38,8547100,"ISR",317744784695.1
"Italy",90.16434479,91.4288559,86.49132538,90.24661255,97.76115417,0.202227533,0.18984291,0.925625801,0.265158862,50,76,75,61,60600590,"ITA",1858913163927.72
"Japan",43.29409027,84.69699097,80.12878418,63.90694427,70.75588989,0.602188289,0.582671344,0.901353419,0.714430034,54,46,92,88,126994511,"JPN",4940158776617.16
"Kenya",91.47972107,96.60401154,95.37240601,94.88566589,91.1384201,0.040281963,0.043329366,0.967520893,0.04893912,70,25,50,NA,48461567,"KEN",70529014778.3251
"Latvia",88.27328491,81.96019745,97.38006592,78.47648621,93.92915344,0.083025061,0.137054622,0.778649986,0.228618711,44,70,63,69,1960424,"LVA",27572698481.8766
"Malaysia",76.37995911,89.13453674,95.15067291,92.58638763,89.89666748,0.165287644,0.253835708,0.850313067,0.397070885,100,26,36,41,31187265,"MYS",296535930381.12
"Mexico",49.03112793,91.86722565,76.69642639,76.07317352,96.23017883,0.68950069,0.815288961,0.774700165,0.755637407,81,30,82,24,127540423,"MEX",1046922702460.87
"Morocco",83.00012207,91.33643341,90.64880371,89.5920105,94.82123566,0.141487077,0.351112068,0.952863395,0.141718894,70,46,68,14,35276786,"MAR",103606321692.582
"Netherlands",83.66694641,91.61000061,93.24256134,81.30223846,94.11287689,0.102222748,0.178375348,0.756086528,0.39484185,38,80,53,67,17018408,"NLD",777227541581.307
"New Zealand",78.31399536,94.10005188,90.49986267,77.2302475,90.34043884,0.023948733,0.048085645,0.929369986,0.222113848,22,79,49,33,4692700,"NZL",184969146624.47
"Nigeria",73.98173523,91.35237122,86.85175323,84.66807556,84.84957123,0.610904932,0.554332197,0.809025586,0.415136546,80,30,55,13,185989640,"NGA",404652720164.859
"Norway",74.78539276,85.72293091,95.07569122,82.86361694,96.09379578,0.092359982,0.07069952,0.817048073,0.33723098,31,69,50,35,5232929,"NOR",371076190476.19
"Peru",71.53533936,88.24446869,89.98883057,84.77223206,87.60025787,0.142595872,0.139954492,0.868458271,0.021705553,64,16,87,25,31773839,"PER",192207342004.681
"Philippines",87.6328125,96.58612823,99.61582184,97.42469788,96.53639984,0.420923889,0.366030782,0.861628115,0.543089092,94,32,44,27,103320222,"PHL",304905406845.291
"Poland",88.52284241,90.70967102,96.51831818,89.19894409,93.99305725,0.623448551,0.642001987,0.936811984,0.515710235,68,60,93,38,37948016,"POL",471364408713.956
"Portugal",88.75552368,96.84593201,94.88410187,89.55638885,96.9229126,0.146971822,0.196694583,0.928809524,0.349363774,63,27,99,28,10324611,"PRT",204836597909.466
"Qatar",78.05306244,90.41629791,90.95166779,87.50236511,93.60696411,0.049290955,0.027884956,0.907472074,0.228816554,93,25,80,NA,2569804,"QAT",152451923076.923
"Romania",74.79116058,85.98544312,89.90618134,88.64863586,96.70687103,0.183298364,0.296769202,0.923975706,0.33711493,90,30,90,52,19705301,"ROU",187592037839.968
"Russia",55.16617966,83.62940216,85.03200531,63.34716415,83.9520874,0.831058681,0.809066415,0.76227361,0.845102668,93,39,95,81,NA,NA,NA
"Singapore",54.48226547,82.25151062,72.32847595,65.81767273,78.68769073,0.085525684,0.127903283,0.636614799,0.281592548,74,20,8,72,5607283,"SGP",296975678610.206
"Slovakia",73.9727478,79.3297348,93.07427979,88.84223175,92.89904785,0.22648637,0.243611768,0.938309073,0.100756846,100,52,51,77,NA,NA,NA
"South Africa",70.22272491,54.46834946,92.6709671,91.64276123,91.00775909,0.140827745,0.223917603,0.630557239,0.357632905,49,65,49,34,55908865,"ZAF",295456189492.005
"South Korea",67.65570831,89.51360321,81.09114838,69.13664246,74.50301361,0.102134034,0.069032021,0.912491143,0.422248125,60,18,85,100,NA,NA,NA
"Spain",88.19778442,91.36416626,94.67613983,94.42654419,97.34599304,0.392842382,0.314142495,0.840368152,0.531330347,57,51,86,48,46443959,"ESP",1237255019653.86
"Sweden",64.2698288,89.32839966,76.0848999,66.77703857,92.17377472,0.112270854,0.141483366,0.77973783,0.361332685,31,71,29,53,9903122,"SWE",514459972806.171
"Switzerland",87.79684448,93.3712616,95.4210434,83.91303253,95.26210022,0.185002521,0.157950118,0.919981718,0.509508491,34,68,58,74,8372098,"CHE",668851296244.236
"Thailand",68.69462585,97.12003326,98.23551178,83.51705933,97.18359375,0.512127578,0.889519036,0.446577609,0.556002438,64,20,64,32,68863514,"THA",407026127310.434
"Turkey",78.26728821,95.69515991,90.96871185,87.53773499,86.3507309,0.582376957,0.565813422,0.936068416,0.915900826,66,37,85,46,79512426,"TUR",863711710426.514
"Ukraine",62.51235199,88.11322021,78.70217896,63.71199799,82.52387238,0.593034387,0.579757273,0.797438383,0.343383521,92,25,95,86,45004645,"UKR",93270479388.5243
"United Kingdom",77.9727478,91.89289856,92.12388611,78.63568878,95.74295807,0.441873848,0.548479915,0.835326672,0.766022682,35,89,35,51,65637239,"GBR",2647898654635.24
"United States",81.13439178,92.30830383,93.87817383,84.57104492,92.78422546,0.753198802,0.738208652,0.905555308,0.85097456,40,91,46,26,323127513,"USA",1.8624475e+13
"Uruguay",80.59624481,97.45578003,94.43464661,89.30647278,98.8344574,0.106376454,0.125934154,0.913781583,0.264427185,61,36,99,26,3444006,"URY",52419720713.7316
"Venezuela",75.1503067,92.71881104,92.28479004,90.98774719,94.37124634,0.880642295,0.903391838,0.889417231,0.471084327,81,12,76,16,NA,NA,NA
"Vietnam",50.82266235,94.72130585,92.83774567,86.79840088,94.18371582,0.028715925,0.029809026,0.966141224,0.049912501,70,20,30,57,92701100,"VNM",205276172134.901
"Algeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bahrain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bangladesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cameroon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Croatia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cuba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czechia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Egypt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Estonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ghana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iraq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kazakhstan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Korea, South",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kuwait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moldova",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Macedonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pakistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Panama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saudi Arabia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United Arab Emirates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Uzbekistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
